State,OCTO Location ID,Address,Area / Sub,"Building Validation Commercial
/Residential",GNAF Units,OCTO Device,MDF Share,Latitude,Longitude,Hubsite ID,Hubsite,Cabinet Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,1223,83 QUEENSBRIDGE ST SOUTHBANK VIC 3006,SOUTHBANK - VIC,residential,326,VDSL,Standalone Only,-37.823772,144.960923,nme-flin,376 FLINDERS ST MELBOURNE VIC,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,12664,21 SAINT MANGOS LANE DOCKLANDS VIC 3008,DOCKLANDS,residential,18,VDSL,Slave Only,-37.814539,144.941469,nme-coll,530 COLLINS ST MELBOURNE VIC,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,8,19 HICKSON RD DAWES POINT NSW 2000,SYDNEY,residential,190,VDSL,Standalone Only,-33.855708,151.204797,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,14,5 TOWNS PL MILLERS POINT NSW 2000,SYDNEY,residential,24,VDSL,Master Only,-33.857028,151.202941,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,21,1 POTTINGER ST MILLERS POINT NSW 2000,SYDNEY,residential,33,UBE,Standalone Only,-33.857474,151.205173,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,24,44 CUMBERLAND ST THE ROCKS NSW 2000,SYDNEY,Residential,51,UBE,Standalone Only,-33.857826,151.207941,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,56,168-170 KENT ST MILLERS POINT NSW 2000,SYDNEY,residential,352,VDSL,Master Only,-33.862256,151.204289,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,57,171 GLOUCESTER ST THE ROCKS NSW 2000,SYDNEY,residential,138,VDSL,Master Only,-33.862527,151.205796,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,58,161 KENT ST MILLERS POINT NSW 2000,SYDNEY,residential,109,VDSL,Standalone Only,-33.862308,151.203591,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,60,129-131 HARRINGTON ST THE ROCKS NSW 2000,SYDNEY,Residential,218,VDSL,Standalone Only,-33.862583,151.206373,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,68,38 HICKSON RD MILLERS POINT NSW 2000,SYDNEY,residential,50,UBE,Standalone Only,-33.862764,151.203227,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,72,187 KENT ST SYDNEY NSW 2000,SYDNEY,residential,177,VDSL,Slave Only,-33.862955,151.20357,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,86,123-125 MACQUARIE ST SYDNEY NSW 2000,SYDNEY,residential,83,UBE,Standalone Only,-33.863822,151.212479,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,176,185 MACQUARIE ST SYDNEY NSW 2000,SYDNEY,Residential,91,VDSL,Standalone Only,-33.866794,151.212114,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,253,31-43 KING ST SYDNEY NSW 2000,SYDNEY,residential,112,VDSL,Standalone Only,-33.868932,151.204319,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,275,365-377 KENT ST SYDNEY NSW 2000,SYDNEY,residential,200,VDSL,Standalone Only,-33.869572,151.20436,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,347,197-199 CASTLEREAGH ST SYDNEY NSW 2000,SYDNEY,Residential,250,VDSL,Standalone Only,-33.873813,151.208814,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,351,281-287 SUSSEX ST SYDNEY NSW 2000,SYDNEY,Residential,33,UBE,Standalone Only,-33.873913,151.203943,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,368,101 BATHURST ST SYDNEY NSW 2000,SYDNEY,Residential,772,VDSL,Master Only,-33.874715,151.206293,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,374,343-357 PITT ST SYDNEY NSW 2000,SYDNEY,residential,591,VDSL,Standalone Only,-33.875456,151.207581,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,377,336-346 SUSSEX ST SYDNEY NSW 2000,SYDNEY,residential,159,VDSL,Standalone Only,-33.875538,151.204771,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,381,359-361 PITT ST SYDNEY NSW 2000,SYDNEY,residential,86,VDSL,Standalone Only,-33.875704,151.207645,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,385,339 SUSSEX ST SYDNEY NSW 2000,SYDNEY,residential,445,VDSL,Standalone Only,-33.875918,151.204148,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,401,2-8 DIXON ST SYDNEY NSW 2000,SYDNEY,residential,139,VDSL,Standalone Only,-33.876571,151.204032,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,402,28 HARBOUR ST SYDNEY NSW 2000,SYDNEY,residential,482,VDSL,Standalone Only,-33.876572,151.203665,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,406,359-361 SUSSEX ST SYDNEY NSW 2000,SYDNEY,residential,105,VDSL,Standalone Only,-33.876718,151.204431,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,409,569-581 GEORGE ST SYDNEY NSW 2000,SYDNEY,residential,425,VDSL,Standalone Only,-33.876808,151.205456,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,412,393 PITT ST SYDNEY NSW 2000,SYDNEY,Residential,310,VDSL,Standalone Only,-33.877211,151.207449,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
